t	XA	XB	YA	YB	XC	YC	x_bary	y_bary	ExcB	ExcC	rapport_axes
22.02	-0.006227522404106797	4.921712299706527	9.243066321305782e-05	-0.5673306115643594	-5.479672311131488	2.8188380944509936	9.084121477677148e-08	-1.4350874564430254e-07	0.010727657961808036	0.07537303259630332	1.264267520597917
22.03	-0.006229218702623162	4.925144278235815	5.432323269255174e-05	-0.5392860538646973	-5.492749595067912	2.796784654475038	9.090947447264776e-08	-1.4347162600866011e-07	0.010728080969000853	0.07538112263941499	1.2642778839583053
22.040000000000003	-0.006230688975819217	4.9284167800997185	1.6201691104118584e-05	-0.5112240524306177	-5.505734086295455	2.7746839233590896	9.097905235455455e-08	-1.4344104196096802e-07	0.010728504571485487	0.07538919942320749	1.2642882819321328
22.05	-0.006231933140835953	4.931529726369106	-2.1932635154206542e-05	-0.4831455187817695	-5.518625637697733	2.752536310822072	9.104987192412272e-08	-1.4341697249093706e-07	0.010728928754254179	0.07539726260146021	1.2642987144709061
22.060000000000002	-0.006232951122592381	4.9344830433736995	-6.007841937826655e-05	-0.45505136467133306	-5.531424104083813	2.7303422268019073	9.112185628777139e-08	-1.4339939767381178e-07	0.010729353502725695	0.07540531182848728	1.2643091815260086
22.07	-0.0062337428537845045	4.9372766627009765	-9.823433460388599e-05	-0.42694250205516	-5.544129342185639	2.7081020814458263	9.119492815908865e-08	-1.433882986806512e-07	0.010729778802869414	0.07541334675912484	1.2643196830486916
22.080000000000002	-0.0062343082748840825	4.939910521194971	-0.0001363990536529331	-0.39881984306095103	-5.556741210655463	2.6858162851007252	9.126900987549721e-08	-1.433836577787617e-07	0.01073020464120523	0.07542136704876466	1.2643302189900734
22.09	-0.006234647334137067	4.942384560954764	-0.00017457124917933834	-0.3706842999574686	-5.569259570063166	2.6634852483035787	9.134402348547798e-08	-1.4338545834241056e-07	0.0107306310047362	0.07542937235336501	1.2643407893011602
22.1	-0.006234759987561755	4.944698729332902	-0.00021274959371506922	-0.34253678512378444	-5.581684282893565	2.641109381771879	9.141989067389968e-08	-1.433936848539082e-07	0.010731057881036387	0.07543736232944014	1.2643513939328248
22.11	-0.006234646198946695	4.946852978933569	-0.0002509327597160573	-0.3143782110185661	-5.594015213543654	2.6186890963941387	9.149653288105862e-08	-1.4340832291248193e-07	0.010731485258178342	0.07544533663410924	1.2643620328358105
22.12	-0.0062343059398482885	4.948847267610598	-0.000289119419608077	-0.2862094901493992	-5.6062522283198355	2.5962248032204163	9.157387128904314e-08	-1.434293592377391e-07	0.010731913124779563	0.07545329492507565	1.2643727059607452
22.130000000000003	-0.006233739189588148	4.950681558465265	-0.0003273082458325742	-0.2580315350421511	-5.618395195435041	2.573716913452914	9.165182686675237e-08	-1.4345678167421206e-07	0.01073234147004376	0.07546123686065812	1.2643834132581246
22.14	-0.006232945935250115	4.952355819843961	-0.00036549791089244345	-0.22984525821037446	-5.630443985005877	2.551165838436592	9.173032032704185e-08	-1.4349057919114183e-07	0.010732770283636627	0.07546916209979936	1.264394154678334
22.150000000000002	-0.006231926171677054	4.9538700253356085	-0.0004036870873977502	-0.20165157212475265	-5.642398469049667	2.528571989649836	9.180927226026447e-08	-1.43530741889837e-07	0.010733199555866763	0.07547707030207454	1.264404930171639
22.16	-0.006230679901467383	4.955224153768961	-0.0004418744481113994	-0.17345138918258834	-5.654258521481483	2.5059357786951924	9.188860307583278e-08	-1.4357726100713645e-07	0.01073362927748385	0.07548496112771072	1.2644157396881894
22.17	-0.006229207134971286	4.956418189209701	-0.0004800586659947462	-0.14524562167733548	-5.666024018111113	2.4832576172900995	9.196823305048419e-08	-1.4363012891313702e-07	0.010734059439952662	0.07549283423758876	1.264426583178015
22.18	-0.006227507890286662	4.957452120957321	-0.0005182384142531448	-0.1170351817681765	-5.677694836640001	2.460537917257721	9.204808238671862e-08	-1.4368933912147416e-07	0.010734490035090935	0.07550068929326273	1.2644374605910293
